id,Название (укр),Название (рус),Описание (укр),Описание (рус),primary_image,category_id,subcategory_id,product_id,validated,year,availability,images,tags
11,Волове серце червоний,Воловое сердце красное,"Середньостиглий сорт народної селекції, вимагає підв 'язки, для відкритого грунту плоди великі, м' ясисті, малонасінні, червоні, салатні, смачні.","Среднеспелый сорт народной селекции, требует подвязки, для открытого грунта, плоды крупные, мясистые, малосемянные, красные, салатные, вкусные.",p100011.jpg,100,101,p100011,1,,1,,"mid_maturing,salad,red,meaty,open_field,needs_trellis,few_seeds"
12,Гігант лимонний,Гигант лимонный,"Середньостигдий сорт морозостійкий, тіньовиносливий, потребує підвязки, для відкритого грунту, плоди великі, мясисті, малонасінневі, округлі, жовті до 800гр маса.","Среднеспелый сорт, зимостойкий, теневиносливый,  требует подвязки, для открытого грунта, плоды крупные, мясистые, малосемянные, округлые, желтые до 800гр масса.",p100012.jpg,100,,p100012,1,,1,,"mid_maturing,yellow,round,meaty,cold_tolerant,shade_tolerant,open_field,needs_trellis,few_seeds"
13,Дамські пальчики,Дамские пальчики,"Ранньостиглий сорт, плодоношення починається на 100-110 добу з розсади, висока рослина, плоди витягнуті, зібрані в щітки по 6-8 штук, рожеві, красиві.","Раннеспелый сорт, плодоношение начинается на 100-110 день от всходов, высокорослое растение, плоды вытянутые, собранные в кисти по 6-8 шт, розовые, красивые.",p100013.jpg,100,101,p100013,1,,1,,"early_maturing,tall,pink"
14,Де барао оранжевий,Де Барао оранжевый,"Середньопізній сорт відкритого грунту, але має якості кімнатного вирощування, висотою до 2,5-3,00 м. Пучок розгалужений. Плід помаранчева сливка, високоврожайний.","Среднепоздний сорт открытого грунта, но имеет качества комнатного выращивания, высотой до 2, 5-3, 00 м. Гроздь разветвленная. Сливка оранжевая, урожайная.",p100014.jpg,100,101,p100014,1,,1,,"mid_late,late,orange,plum,open_field,high_yield"
15,Де барао рожевий,Де Барао розовый,"Середньо-пізній сорт відкритого грунту, але має якості кімнатного вирощування, висотою до 2, 5-3, 00 м. Гроно розгалужене. Сливка рожева, врожайна.","Среднепоздний сорт открытого грунта, но имеет качества комнатного выращивания, высотой до 2,5-3,00 м. Гроздь разветвленная. Сливка розовая, урожайная.",p100015.jpg,100,101,p100015,1,,1,,"mid_late,late,pink,plum,open_field"
16,Де барао тигровий,Де Барао тигровый,"Середньо пізній  сорт для відкритого грунту, має можливість кімнатного вирощування, висотою до-3,0 м. Пучок розгалужений. Червоний к
Колір із зеленою смужкою, врожайна","Среднепоздний для открытого грунта, имеет качества комнатного выращивания, высотой до 2. 5-3. 0 м. Гроздь разветвленная. Сливка красная в зеленую полоску,урожайная.",p100016.jpg,100,103,p100016,1,,1,,"mid_late,late,red,plum,open_field"
17,Де барао Царський,Де Барао Царский,"Середній пізній сорт відкритого грунту, висотою 2. 5-3. 0 м, розгалужений пучок дає до 20 плодів , сливок масою від 100-200 г.Колір червоний з рожевим відтінком продуктивний, смачний.","Среднепоздний сорт открытого грунта, высотой 2. 5-3. 0 м, разветвленная гроздь дает до 20 плодов массой от 100-200гр. Сливка красная с розовым оттенком урожайная, вкусная.",p100017.jpg,100,,p100017,1,,1,,"mid_late,late,red,pink,plum,open_field"
18,Де барао Царський червоний,Де Барао Царский Красный,"Середньо-пізній сорт відкритого грунту, висотою 2. 5-3. 0 м, розгалужене гроно дає до 20 плодів масою від 100-200гр. Сливка червона, врожайна.","Среднепоздний сорт открытого грунта, высотой 2. 5-3. 0 м, разветвленная гроздь дает до 20 плодов массой от 100-200гр. Сливка красная, урожайная.",p100018.jpg,100,101,p100018,1,,1,,"mid_late,late,red,plum,open_field"
19,Де барао червоний,Де Барао красный,"Середньопізній сорт відкритого грунту має якості кімнатного вирощування, висотою до 2,5-3,0 м, пучок розгалужений,сливка,  колір червоний і смачний.дуже врожайний.","Среднепоздний сорт открытого грунта, природне для комнатного выращивания, высотой до 2,5-3,0 м, гроздь разветвленная, сливка красная, вкусная, урожайная.",p100019.jpg,100,101,p100019,1,,1,,"mid_late,late,red,plum,open_field"
20,Де барао чорний,Де Барао чёрный,"Середньопізній сорт відкритого грунту має якості кімнатного вирощування, висотою до 2,5-3,0 м, пучок розгалужений, колір чорний зкоричневим відтінком врожайний і смачний.","Среднепоздний сорт открытого грунта, имеет качества комнатного выращивания, высотой до 2,5-3,0 м, гроздь разветвленная, сливка черная в коричневым оттенком,вкусная.",p100020.jpg,100,101,p100020,1,,1,,"mid_late,late,black,brown,plum,open_field"
21,Жираф,Жыраф,"Пізній сорт, високий, плоди вагою 80-90 гр. лежкі, добре дозрівають зібрані зазделегідь, м'ясисті, помаранчевого кольору, чудові в консервуванні, смачні.Рекомендовані аллегрикам.","Поздний сорт, высокорослый, плоды массой 80-90 гр. лежкие, дозревают хорошо собранные заранее, мясистые, оранжевого цвета, чудесные в консервации, вкусные.Подходять людям с аллергией.",p100021.jpg,100,101,p100021,1,,1,p100021_1.jpg,"late,tall,canning,orange,meaty,keeping"
22,Золоте сердце,Золотое сердце,"Сорт середньопізній, високий, кущ добре розгалужений, вегетація 100-110 днів від розсади, плоди витягнуті, жовті, для дитячого харчування.","Среднепоздний сорт, высокорослый, куст хорошо разветвленный, вегетация 100-110 дней от всходов, плод удлиненный, желтый, для детского питания.",p100022.jpg,100,101,p100022,1,,1,,"mid_late,late,tall,baby_food,yellow,elongated"
23,Засолочне чудо,Засолочное чудо,"Середньостиглий сорт відкритого грунту підходить для масових насаджень, висота 1,3-1,5 червоний, ринковий, транспортабельний, сольовий.","Среднеспелый сорт открытого грунта подходит для массовых насаждений, высота 1, 3-1, 5 м красный, рыночный, транспортабельный, засолочный.",p100023.jpg,100,,p100023,1,,1,,"mid_maturing,pickling,red,transportable,open_field"
24,Корніївский,Корнеевский,"Середньоранній сорт, висота 1, 3-1,6 м. Великі плоди з тонкою шкіркою, плід рожевий, насиченого кольору гладенький незамінні в салатах і добре себе виявив у виготовленні паст, соусів.Вага від 400 до 600 но.","Среднеранний сорт, высота 1, 3-1,6м. Плоды крупные с тонкой кожицей, розовые, соки, томаты, пасты насыщенного вкуса, незаменим в салатах.Не подвержен растрескиванию, вес от400 до 600гр.",p100024.jpg,100,,p100024,1,,1,,"early,mid_early,juice,paste,sauce,pink,thin_skin"
25,Мікадо,Микадо,"Середньостиглий сорт, висота 1, 2-1,5 м, плоди рожево-червоні, не тріскаються, стійкі до хвороб. Відноситься до ринкових засолочних сортів дуже продуктивний.","Среднеспелый сорт, высота 1, 2-1,5м плоды розово-красные, не растрескиваются, устойчивы к болезням. Рыночный засолочный сорт очень урожайный.",p100025.jpg,100,101,p100025,1,,1,,"mid_maturing,pickling,red,pink,disease_resistant,high_yield"
26,Перцевидний оранжевий,Перцевидный оранжевый,"Середньопізній сорт народної селекції, врожайність до 10 кг з одного куща заввишки 1,8-2,0 м , апельсиновий, перцеподібний, смачний.","Среднепоздний сорт народной селекции, урожайность до 10кг с одного куста высотой 1,8-2,0 м. , оранжевый, перцевидной формы, вкусный.",p100026.jpg,100,,p100026,1,,1,,"mid_late,late,orange"
27,Потрібний розмір,Нужный размер,"Середньостиглий сорт, вегетація 110-120 днів. червоний, плоскокруглий, ребристий, високого смаку, для переробки і їстівний.протистоїть захворюванням.","Среднеспелый сорт, вегетация 110-120 дн. красный, плоскоокруглой формы, ребристый, высокие вкусовые качества, для переработки и солений кстойчив к болезням.",p100027.jpg,100,,p100027,1,,1,,"mid_maturing,red,round,flat_round"
28,Принцеса Турандот,Принцеса Турандот,"Ранньоурожайний сорт, високий з особливими  грушоподібними плодами з солодким смаком, стійкий до хвороб, для дитячого харчування, дуже легкий, має здатність дозрівання в зібраному вигляді.","Ранний урожайный сорт, высокорослый с особенными плодами грушевидной формы со сладким вкусом, устойчив к болезням, для детского питания.Имеет хорошою лежкость.",p100028.jpg,100,101,p100028,1,,1,,"early,tall,baby_food,pear,sweet,keeping,disease_resistant,high_yield"
29,Рожевий гігант,Розовый гигант,"Сорт середньопізній, високоврожайний, плоди рожевого кольору масою до 200-300 г. Смакові якості відмінні, використовуються для томатів і паст.","Среднепоздний, 
 массой до 200-300 гр. Вкусовые качества отличные, используют для томатов и паст.",p100029.jpg,100,101,p100029,1,,1,,"mid_late,late,paste,pink,high_yield"
30,Рожевий слон,Розовый слон,"Пізній сорт, високий, розкиданий міцний кущ, плоди рожевого кольору, вагою від 300 грамів іноді до 1 кг, смачні в салатах і в томатних продуктах.","Поздний сорт, высокорослый, раскидистый крепкий куст, плоды розовые, массой от 300гр иногда до 1кг, вкусные в салатах и в томатных изделиях.",p100030.jpg,100,101,p100030,1,,1,,"late,tall,sprawling,pink"
31,Рожевий фламінго,Розовый фламинго,"Ранньостигла сортова сливка вегетація 90 днів від розсади, висота рослини до 1 м, плоди овальні, рожеві, без зеленої плями на плодоносику, смачні","Скороспелый сорт вегетация 90 дней от всходов, высота растения до 1м, плоды овальные, розовые, без зеленого пятна у плодоножки, вкусные",p100031.jpg,100,102,p100031,1,,0,,"early_maturing,pink,oval,plum,no_green_shoulder"
32,Російський розмір,Русский размер,"Пізньо-стиглий (130-140) днів, індетермінантний гібрід з необмеженим ростом, формовка в 1 стебло, обовязкова підвязка, Стійкий до вірусів, червон.","Позднеспелый (130-140) дней, индетерминантный гибрид с неограниченным ростом, формовка в 1 стебель, обязательная подвязка, устойчив к вирусам, красный.",p100032.jpg,100,101,p100032,1,,1,,"late,determinate,indeterminate,red,needs_trellis"
33,Сливка гігант (оранжевий),Сливка гигант (оранжевый),"Середньостиглий урожайний сорт подовженного плодоношення, массою 150-180гр, тип  сливка, для консервування та вікористання в свіжім виляд.","Среднеспелый урожайный сорт продолжительного плодоношения, массой 150-180гр, тип сливка, для консервирования и использования в свежем виде.",p100033.jpg,100,102,p100033,1,,1,,"mid_maturing,canning,fresh,orange,elongated,plum,high_yield,long_fruiting"
34,Сливка гігант (червоний),Сливка гигант (красный),"Середньостиглий урожайний сорт тривалого плодоношення, масою 150-180 г, тип вершків, для консервування та свіжого використання.Висока врожайність.","Среднеспелый урожайный сорт продолжительного плодоношения, массой 150-180гр, тип сливка, для консервирования и использования в свежем виде.
Очень урожайный сорт.",p100034.jpg,100,102,p100034,1,,1,,"mid_maturing,canning,fresh,red,plum,high_yield,long_fruiting"
35,Слов'янський Шедевр,Словянский шедевр,"Середньостиглий сорт, чудовий помідор, поєднання смакових властивостей і технічних досягнень, червоний вагою 350-400 г, лежкий.Фаворит ринку.","Среднеспелый сорт, чудесного томата, соединение вкусовых свойств и технических достижений, красный массой 350-400гр, лежкий.Фаворит продаж.",p100035.jpg,100,102,p100035,1,,1,p100035_1.jpg,"mid_maturing,red,keeping"
36,Чудо світу (лимон-ліана),Чудо света,"Середньостигла рослина з великою кількістю яскраво-жовтих плодів вагою від 60-120 грам, з чудовим смаком, підв 'язка обов' язкова.діти у захваті від ціх смаколиків.","Среднеспелое растение с большим количеством ярко желтого цвета плодов весом от 60-120гр, с чудесным вкусом, подвязка обязательна.Лучшее из лакомств для детей.",p100036.jpg,100,,p100036,1,,1,,"mid_maturing,yellow,needs_trellis"
37,Сосулечка рожева,Сосулька розовая,"Середньоранній сорт, невизначений тип,висота 180-2, 00м, щітка утворює 6-8 плодів масою 60-80г, нагадує рожеву бурульку, смачна.","Среднеранний сорт, индетерминантного типа, высотой 1,80-2,00м, кисть формирует 6-8 плодов весом 60-80гр, напоминает розовую сосульку, вкусный.",p100037.jpg,100,101,p100037,1,,1,,"early,mid_early,determinate,indeterminate,pink"
38,Фейєрверк,Фейерверк,"Найбільш ранній сорт належить до групи томатів бутерброд них,, червоних, вагою 270-300 грамів, найбільш соковитих. Салати, гамбургери, барбекю - це феєрверки.","Ранний сорт, относится к группе биф томатов, красный, 270-300гр весом, самый сочный. Салаты, бургеры, барбекю - это Фейерверк.",p100038.jpg,100,102,p100038,1,,0,,"early,juice,red,juicy"
39,Хурма,Хурма,"Сорт середньопізній, рослина висока, до 2,5 м. Кущ розростається, міцний, плоди великі, жовто-оранжеві 300-400 грам добре дозрівають, солодкі.","Среднепоздний сорт, растение высокорослое, до 2, 5 м. Куст раскидистый, крепкий, плоды крупные желто-оранжевые 300-400гр дозревают хорошо, сладкие.",p100039.jpg,100,101,p100039,1,,0,,"mid_late,late,tall,sprawling,yellow,orange,sweet"
40,Чорний принц,Чорный принц,"Середньо -пізній високорослий надзвичайно врожайний сорт, плоди 250-300гр, приємні на смак, зелено-коричневого кольору, салатні.","Среднепоздний высокорослый чрезвычайно урожайный сорт, плоды 250-300гр, приятные на вкус, зелено-коричневого цвета, салатные.",p100040.jpg,100,101,p100040,1,,1,,"mid_late,late,tall,salad,black,brown,high_yield"
41,Чорний слон,Чорный слон,"Середньопізній, високиорослий сорт оригінального кольору від темно-коричневого до насиченого бордового, вагою до 400 грам, салатний має оксидантні властивості.","Среднепоздний, высокорослый сорт оригинальной окраски от темно коричневого до насыщенного бордового, до 400гр массой, салатный.Имеет оксидантные свойства",p100041.jpg,100,101,p100041,1,,1,,"mid_late,late,tall,salad,black,brown"
42,Агата,Агата,"Універсальний сорт на ринку вже 30 років, не поступається сортам нової породи, вирощується у відкритому грунті та в плівкових укриттях, не потребує підв 'язки,  але потребує підсвічування. Плоди щільні, не тріскаються, лежкі, м'якоть м'ясиста. При правильному догляді може дати 7 кг врожаю.","Универсальный сорт уже 30 лет на рынке ни грамма не уступает сортам новой селекции, выращивается и в открытом грунте и в пленочных укрытиях, не требует подвязки,  нуждается в освещенности. Плоды плотные не растрескиваются, лежкие, мякоть мясистая. При хорошем уходе может дать 7 кг урожая.",p100042.jpg,100,102,p100042,1,,1,,"universal,meaty,firm,keeping,open_field,greenhouse,needs_trellis"
43,Американський ребристий,Американский ребристый,"Новий супер середньостиглий сорт томатів, плоди великі, вогненно-червоні  відноситься до салатних сортів Має високу стійкість  до  фітофторозу, маса плодів від 400 г до 1 кг. У плівковому укритті врожайність вища, ніж у відкритому ґрунті, але можна використовувати обидва види вирощування.Використовуєтся також в індустрії швидкого харчування для бургерів","Новый супер - урожайный средне - спелый сорт томата, плоды крупные,  огненно - красные относится к салатным сортам томатов. Отличается большой устойчивостью  к  фитофторозу, вес плода от 400гр до 1 кг. В пленочном укрытии урожай выше чем в открытом грунте, но можно использовать оба вида выращивания кроме обычного использования применяют для изготовления бургеров.",p100043.jpg,100,102,p100043,1,,1,,"mid_maturing,salad,red,late_blight,open_field,greenhouse,high_yield"
44,Аврора,Аврора,"Надшвидкий, низькорослий сорт, від розсади до дозрівання 79-85 днів, детермінантний, плоди закруглені інтенсивно червоного кольору без зеленої плями на плодоносику. Врожайність 9 -12 кг на м2. Підходить для всіх видів  обробки, стійкий до хвороб.","Ультраскороспелый, низкорослый сорт, от всходов до созревания 79 - 85 дней, детерминантный, плоды округлые интенсивно красного цвета без зеленого пятна у плодоножки. Урожайность 9 -12 кг с м2. Пригоден для всех видов  переработки, устойчив к болезням.",p100044.jpg,100,103,p100044,1,,1,,"determinate,short,red,round,disease_resistant,no_green_shoulder"
45,Арізона,Аризона,"Томат відрізняється тим, що його можна висаджувати не тільки розсадою, але і насінням  у відкритий грунт, середньостиглий сорт, плоди округлі, міцні масою 100-140 г. Підходить для всіх видів обробки, дуже смачний у свіжому вигляді.","Томат отличается тем что, можно сажать не только рассадой, но и семенами  в открытый грунт, среднеспелый сорт, плод округлый, крепкий массой от 100- 140гр. Пригоден для всех видов переработок, очень вкусный в свежем виде.",p100045.jpg,100,103,p100045,1,,1,,"mid_maturing,fresh,round,open_field"
46,Балада,Баллада,"Середньостиглий сорт для відкритого грунту, висаджується на добре прогрітих територіях, захищених від холодних вітрів. Плоди плоскі, округлі,  темно-червоні, масою 130-180 г. Врожайний, транспортабельний, смачний.","Среднеспелый сорт для открытого грунта, высаживается на хорошо прогретые участки защищенные от холодных ветров. Плод плоско округлой формы,  темно - красного цвета, массой130-180гр. Урожайный, транспортабельный, вкусный.",p100046.jpg,100,103,p100046,1,,1,,"mid_maturing,red,round,transportable,open_field,high_yield"
47,Білий налив 241,Белый налив 241,"Ранньостиглий сорт відкритого грунту, що відрізняється дуже дружнім дозріванням, вирощюется без пасинкування врожайність до 8 кг/ м2, кількість гнізд від 5 до 12. Плоди округлі, злегка ребристі, червоні, масою 90-135 г. Смак відмінний.","Раннеспелый сорт открытого грунта, отличителен очень дружным созреванием, выращивается без пасынкования, урожайность до 8кг/ м2, число гнезд от 5 до 12. Плоды округлые слабо-ребристые, красные массой  90-135гр. Вкусовые качества отличные.",p100047.jpg,100,103,p100047,1,,1,,"early_maturing,red,round,open_field,no_pinch,uniform_ripening"
48,Волгоградскій323,Волгоградский323,"Базовий сорт, рослина насиченого темно зеленого забарвлення стебел, низька 40-50см. Плід круглий трохи приплюснутий темно червоного кольору, скоростиглий, салатного призначення. Віддає перевагу суглинні грунту. Дуже смачний для томатних соків, кетчупів, паст.","Базовый сорт, растение насыщенного темно- зеленого окраса стеблей, низкое 40-50см. Плод круглый немного приплюснут темно красного цвета, скороспелый, салатного назначения. Предпочитает суглинистые почвы. Очень вкусен для  томатных  соков, кетчупов, паст.",p100048.jpg,100,103,p100048,1,,1,,"salad,juice,paste,red,round"
49,Волгоградський 323,Волгоградский 323,"Базовий сорт, рослина насиченого темно-зеленого кольору стебел, дуже ранній. Плоди округлі, злегка сплющені, темно-червоні, салатного призначення, але також смачні томатні соки, кетчупи, пасти.","Базовый сорт, растение насыщенного темно зеленого окраса стеблей, очень ранний. Плод округлый слабо приплюснутый  темно красного цвета, салатного назначения но и вкусные томатные соки, кетчупы, пасты.",p100049.jpg,100,103,p100049,1,,1,,"early,salad,juice,paste,red,round"
50,Волгоградський 5/95,Волгоградский 5/95,"Середній пізній сорт має високу врожайність. Плоди плоскокруглі, з насиченим червоним кольором, масою  90/150 г. Використовується при виготовленні томатних соків, паст та при  консервуванні. Смак відмінний.","Средне поздний сорт отличается высокой урожайностью. Плоды плоскоокруглые, с насыщенным красным цветом, массой  90/150гр, Применяется в изготовлении, томатных соков, паст и в  консервации. Вкусовые качества отличные.",p100050.jpg,100,103,p100050,1,,1,,"late,canning,juice,paste,red,round,flat_round"
51,Волгоградський рожевий,Волгоградский розовый,Ранньостиглий сорт для вирощування у відкритому грунті вегетаційний період 95-100 днів Характеризується дружним дозріванням і гарною транспортабельністю.,Раннеспелый сорт для выращивания в  открытом грунте вегетационный период  95-100 дней Характеризуется  дружным созреванием и хорошей транспортабельностью.,p100051.jpg,100,103,p100051,1,,1,,"early_maturing,pink,transportable,open_field,uniform_ripening"
52,Шедевр Рудас,Шедевр Рудаса,Селекційний сорт з дуже довгим терміном зберігання до 4 місяців. Плоди середнього розміру з щільною шкіркою червоно-оранжевого кольору м'якоть має більш інтенсивне забарвлення. Сорт дуже урожайний.,Селекционный сорт с очень длинным сроком хранения до 4 месяцев. Плоды среднего размера с плотной кожурой красно-оранжевого цвета мякоть имеет более интенсивную окраску. Сорт очень урожайний.,p100052.jpg,100,102,p100052,1,,0,,"red,orange,firm,high_yield,long_storage"
53,Господар,Господар,"Сорт виведений в Українському НДІ. Плоди великі, щільні, червоні смакові і товарні якості відмінні. Перспективний сорт для відкритого грунту так як стійкий до фітофторозу.","Сорт выведен в Украинском НИИ. Плоды крупные, плотные, красные вкусовые и товарные качества отличные. Перспективный сорт для открытого грунта  так как устойчив к фитофторозу.",p100053.jpg,100,103,p100053,1,,1,,"red,firm,late_blight,open_field"
54,Господар,Господар,"Український сорт, детермінантного типу слабо облиственний. Плоди червоні великі відмінного смаку. Стійкий до грибкових захворювань.","Украинский сорт, детерминантного типа слабо облиственный. Плоды красные крупные  отличного вкуса. Устойчив к грибковым заболеваниям.",p100054.jpg,100,103,p100054,1,,1,,"determinate,red"
55,Дар Заволжя,Дар Заволжья,"Середньоранній сорт, терміном дозрівання 110-112 днів, кущ низький, компактний. Плоди червоні, круглі зі слабо вираженим кінчиком. Дружне дозрівання, висока транспортабельність відрізняють сорт. Споживання у свіжому вигляді, засолюванні, переробці на томати, пасти, соки. Сорт дуже продуктивний.","Среднеранний сорт, сроком созревания 110-112 дней, куст низкий,  компактный. Плоды красные, круглые со слабо выраженным  кончиком. Дружное созревание, высокая транспортабельность отличают сорт. Потребление в свежем виде, засолке, переработке на томаты, пасты, соки. Сорт очень продуктивен.",p100055.jpg,100,103,p100055,1,,1,,"early,mid_early,compact,pickling,fresh,juice,paste,red,round,transportable,uniform_ripening"
56,Дар Заволжя рожевий,Дар Заволжья розовый,"Середньоранній сорт, терміном дозрівання 110-112 днів, кущ низький, компактний, плоди рожеві, круглі зі слабо вираженим кінчиком, транспортабельні. Використовуються як в свіжому вигляді, так і в переробленому. Сорт дуже продуктивний.","Среднеранний сорт, сроком  созревания 110-112 дней, куст низкий, компактный, плоды розовые,  круглые со слабо выраженным кончиком, транспортабельные. Используются как в свежем виде,  так и в переработанном. Сорт очень продуктивен.",p100056.jpg,100,103,p100056,1,,1,,"early,mid_early,compact,fresh,pink,round,transportable"
57,Дар Заволжя,Дар Заволжья,"Середньоранній сорт, терміни дозрівання 110-112 днів, кущ низький, компактний. Плоди круглі, червоні зі слабо вираженим кінчиком. Дружне дозрівання і висока транспортабельність відрізняють сорт. Вживається у свіжому вигляді і у всіх видах переробок. Сорт дуже продуктивний.","Среднеранний сорт, сроки созревания 110-112 дней, куст низкий, компактный. Плоды круглые, красные со слабо выраженным кончиком. Дружное созревание и высокая транспортабельность отличают сорт. Употребляется в свежем виде и во всех видах переработок. Сорт очень продуктивен.",p100057.jpg,100,103,p100057,1,,1,,"early,mid_early,compact,fresh,red,round,transportable,uniform_ripening"
58,Джина,Джина,"Середньостиглий, дуже продуктивний сорт рекомендується для вирощування у відкритих грунтах, як розсадним, так і не розсадним способами. Стійкий до хвороб. Круглі червоні плоди масою до 200 г. Підходить для всіх видів обробки  та смачний у свіжому вигляді.","Среднеспелый очень урожайный сорт рекомендуется для выращивания в открытом ��рунте как рассадным, так и без рассадным способом. Устойчив к заболеваниям. Плоды круглые красные массой до 200гр. Пригодны для всех видов переработки  и вкусные в свежем виде.",p100058.jpg,100,103,p100058,1,,0,,"mid_maturing,fresh,red,round,disease_resistant,open_field,high_yield"
